Temp,Seebeck
324.4567007,122.9273479
324.2362398,123.1638576
334.1678089,126.4624114
334.1197895,126.4861771
343.9815506,129.716313
343.9066662,129.9803981
353.7585186,132.9394432
353.7094349,133.1843777
363.5770592,136.1228267
363.6068291,136.1212659
373.3658642,138.5775307
373.3775467,138.8960896
383.2807793,141.5689187
383.3306145,141.3637095
393.1912103,143.9673991
393.2587685,144.4944261
402.9541153,147.671191
402.9290755,147.5181058
412.6682458,151.5993627
412.6156335,150.927189
422.3837113,155.8436473
422.3424552,154.9827161
432.0307182,158.0138369
431.9547942,158.1454584
441.7541908,160.9757316
441.7710555,160.1437021
451.603148,163.1068079
451.6655865,163.0890834
461.609179,165.8033156
461.5263808,165.6692941
471.5081658,168.679063
471.2951645,168.0839212
481.4094225,171.1956078
481.2493043,171.6334722
491.3737053,174.4426483
491.4918883,172.4083222
501.4135495,177.0093594
501.3294815,175.9519168
511.5989248,180.0468809
511.555609,178.5796686
521.7155173,184.0713422
521.6379378,182.9074795
521.8510078,183.8782873
521.7095435,182.4052883
511.5563643,181.3558726
511.6771303,180.1973766
501.397089,178.6132452
501.5032105,177.0445935
491.4468635,175.0173741
491.5368065,174.2210924
481.500792,171.1943193
481.5739922,171.3368113
471.453612,168.7388711
471.6525025,168.7404753
461.6538412,165.8980313
461.6774313,166.6178193
451.6456625,163.507346
451.7291245,163.9732333
441.8894105,160.8651038
441.7424607,161.5642794
432.1610395,158.5951001
432.1101365,159.3371368
422.4306243,155.4155288
422.391993,156.3909158
412.677504,151.6634138
412.5587105,152.5310551
403.0765025,147.8164077
402.981131,148.457937
393.3206695,144.5568867
393.3644355,145.4619656
383.4708217,141.399964
383.502871,142.3260133
373.530251,138.8439669
373.5048068,139.7530787
363.701075,135.9997096
363.6698746,136.7329512
353.9562648,133.0664841
353.9253658,133.7785094
344.152594,129.8419244
343.9397015,130.7464948
334.2300343,126.5768579
334.0893558,127.2810571
324.4148487,123.3098861
324.1383699,123.7386437
